date,user_id,video,sexual,hateful,spam
1/1/20,ytp,1,0,1,0
1/1/20,ytp,2,0,0,1
1/1/20,ytp,3,1,0,0
1/1/20,ytp,4,0,0,0
1/1/20,ytp,5,0,0,0
1/6/20,ytp,6,0,0,0
1/6/20,ytp,7,0,0,0
1/6/20,ytp,8,0,0,0
1/6/20,ytp,9,0,0,0
1/6/20,ytp,10,1,0,0
1/6/20,ytp,11,0,1,1
1/12/20,ytp,12,0,0,1
1/13/20,ytp,13,1,0,0
1/14/20,ytp,14,1,0,0
1/15/20,ytp,15,0,1,0
1/16/20,ytp,16,0,1,0
1/17/20,ytp,17,0,0,0
1/18/20,ytp,18,0,0,0
1/19/20,ytp,19,0,0,1
1/20/20,ytp,20,0,0,1
1/21/20,ytp,21,0,0,0
1/22/20,ytp,22,0,0,1
1/23/20,ytp,23,0,0,0
1/24/20,ytp,24,0,0,0
1/25/20,ytp,25,0,1,0
1/26/20,ytp,26,1,1,0
1/27/20,ytp,27,0,1,0
1/28/20,ytp,28,1,1,0
1/29/20,ytp,29,0,1,0
1/30/20,ytp,30,0,1,0
1/31/20,ytp,31,0,1,0
2/1/20,ytp,32,1,0,1
2/1/20,ytp,33,1,1,0
2/1/20,ytp,34,0,0,0
2/1/20,ytp,35,0,0,1
2/5/20,ytp,36,1,1,0
2/6/20,ytp,37,1,0,0
2/7/20,ytp,38,1,0,1
2/8/20,ytp,39,0,0,0
2/9/20,ytp,40,0,0,0
2/10/20,ytp,41,0,0,1
2/11/20,ytp,42,0,0,0
2/12/20,ytp,43,0,0,0
2/13/20,ytp,44,0,0,0
2/14/20,ytp,45,0,1,0
2/15/20,ytp,46,0,0,1
2/16/20,ytp,47,0,0,0
2/17/20,ytp,48,0,0,0
2/18/20,ytp,49,0,1,0
2/19/20,ytp,50,0,0,0
2/20/20,ytp,51,0,0,0
2/21/20,ytp,52,0,0,0
2/22/20,ytp,53,0,0,0
2/23/20,ytp,54,0,0,1
2/24/20,ytp,55,0,0,0
2/25/20,ytp,56,0,0,1
2/26/20,ytp,57,1,0,0
2/27/20,ytp,58,0,0,1
2/28/20,ytp,59,0,1,1
2/29/20,ytp,60,0,0,0
3/1/20,ytp,61,0,0,0
3/2/20,ytp,62,0,0,0
3/3/20,ytp,63,1,1,0
3/4/20,ytp,64,0,0,0
3/5/20,ytp,65,0,1,0
3/6/20,ytp,66,1,0,0
3/7/20,ytp,67,0,0,0
3/8/20,ytp,68,1,0,0
3/9/20,ytp,69,0,0,0
3/10/20,ytp,70,0,0,0
3/11/20,ytp,71,0,1,0
3/12/20,ytp,72,0,0,1
3/13/20,ytp,73,0,0,0
3/14/20,ytp,74,0,0,0
3/15/20,ytp,75,0,1,0
3/16/20,ytp,76,0,0,1
3/17/20,ytp,77,0,0,0
3/18/20,ytp,78,0,1,0
3/19/20,ytp,79,0,1,0
3/20/20,ytp,80,0,0,0
3/21/20,ytp,81,0,0,0
3/22/20,ytp,82,0,0,0
3/23/20,ytp,83,0,1,0
3/24/20,ytp,84,0,0,0
3/25/20,ytp,85,1,0,0
3/26/20,ytp,86,0,0,0
3/27/20,ytp,87,0,0,0
3/28/20,ytp,88,0,0,0
3/29/20,ytp,89,1,0,0
3/30/20,ytp,90,0,0,1
3/31/20,ytp,91,0,0,0
4/1/20,ytp,92,1,0,0
4/2/20,ytp,93,1,0,0
4/3/20,ytp,94,1,0,0
4/4/20,ytp,95,0,0,1
4/5/20,ytp,96,0,0,0
4/6/20,ytp,97,0,0,1
4/7/20,ytp,98,0,0,1
4/8/20,ytp,99,0,0,0
4/9/20,ytp,100,0,0,0
4/10/20,ytp,101,1,1,0
4/11/20,ytp,102,1,0,0
4/12/20,ytp,103,0,1,1
4/13/20,ytp,104,0,0,0
4/14/20,ytp,105,0,0,0
4/15/20,ytp,106,0,0,1
4/16/20,ytp,107,0,0,0
4/17/20,ytp,108,0,0,0
4/18/20,ytp,109,0,0,1
4/19/20,ytp,110,0,1,0
4/20/20,ytp,111,0,0,0
4/21/20,ytp,112,0,0,0
4/22/20,ytp,113,1,0,0
4/23/20,ytp,114,0,0,1
4/24/20,ytp,115,0,1,1
4/25/20,ytp,116,0,0,0
4/26/20,ytp,117,0,0,0
4/27/20,ytp,118,0,0,0
4/28/20,ytp,119,0,0,0
4/29/20,ytp,120,0,0,1
4/30/20,ytp,121,0,0,0
5/1/20,ytp,122,0,0,0
5/2/20,ytp,123,0,0,0
5/3/20,ytp,124,0,0,0
5/4/20,ytp,125,0,1,1
5/5/20,ytp,126,0,0,1
5/6/20,ytp,127,0,0,0
5/7/20,ytp,128,0,0,0
5/8/20,ytp,129,0,0,1
5/9/20,ytp,130,1,1,0
5/10/20,ytp,131,0,0,0
5/11/20,ytp,132,0,0,0
5/12/20,ytp,133,0,0,0
5/13/20,ytp,134,0,0,0
5/14/20,ytp,135,0,0,1
5/15/20,ytp,136,0,0,0
5/16/20,ytp,137,1,0,0
5/17/20,ytp,138,0,0,0
5/18/20,ytp,139,0,0,0
5/19/20,ytp,140,0,1,0
5/20/20,ytp,141,0,1,0
5/21/20,ytp,142,0,1,0
5/21/20,ytp,143,1,0,0
5/21/20,ytp,144,0,0,0
5/21/20,ytp,145,0,0,0
5/21/20,ytp,146,0,0,0
5/21/20,ytp,147,0,0,0
5/27/20,ytp,148,0,0,0
1/1/20,zdi,1,0,0,0
1/1/20,zdi,2,0,1,0
1/1/20,zdi,3,0,0,0
1/1/20,zdi,4,0,0,0
1/1/20,zdi,5,1,0,0
1/6/20,zdi,6,0,0,0
1/7/20,zdi,7,0,1,0
1/8/20,zdi,8,0,0,0
1/9/20,zdi,9,0,1,0
1/10/20,zdi,10,1,0,1
1/11/20,zdi,11,1,0,0
1/12/20,zdi,12,1,0,0
1/13/20,zdi,13,0,0,1
1/14/20,zdi,14,0,0,0
1/15/20,zdi,15,0,1,0
1/16/20,zdi,16,1,0,0
1/17/20,zdi,17,0,0,0
1/18/20,zdi,18,0,0,0
1/19/20,zdi,19,0,0,1
1/20/20,zdi,20,0,0,0
1/21/20,zdi,21,0,1,0
1/22/20,zdi,22,0,0,0
1/23/20,zdi,23,0,0,0
1/24/20,zdi,24,0,0,0
1/25/20,zdi,25,0,0,0
1/26/20,zdi,26,1,0,0
1/27/20,zdi,27,1,0,0
1/28/20,zdi,28,1,0,0
1/29/20,zdi,29,1,1,1
1/30/20,zdi,30,1,0,0
1/31/20,zdi,31,0,0,0
2/1/20,zdi,32,1,0,0
2/2/20,zdi,33,0,0,0
2/3/20,zdi,34,0,1,0
2/4/20,zdi,35,1,0,0
2/5/20,zdi,36,0,1,0
